
################  GATE METHODS @ FIXED 3-TIER CONFIG  [ALL-6]  (20 seeds)  ################
  config = 7B-nt@cap320 -> 32B-nt@cap320 -> 32B-think@fullres ; parity=0.5723
  gate method           acc  esc→think  FLOPs%     lat   energy  guard
  margin             0.5694        19%   54.7%   5.93s    1505J   0.00 <-ACC
  MSP/Chow           0.5704        19%   57.8%   6.60s    1675J   0.00
  entropy            0.5695        21%   62.2%   7.99s    2033J   0.00
  gini               0.5705        21%   61.6%   7.82s    1991J   0.00
  conformal          0.5704        19%   57.8%   6.60s    1675J   0.00
  learned-correct    0.5679        19%   60.5%   7.61s    1934J   0.10
  learned-defer      0.5673        14%   51.0%   5.01s    1260J   0.00
  random             0.5689        86%  130.2%  23.44s    6105J   0.05

################  GATE METHODS @ FIXED 3-TIER CONFIG  [ALL-5 (excl MedXpert)]  (20 seeds)  ################
  config = 7B-nt@cap320 -> 32B-nt@cap320 -> 32B-think@fullres ; parity=0.6463
  gate method           acc  esc→think  FLOPs%     lat   energy  guard
  margin             0.6457         1%   27.1%   0.49s      88J   0.10 <-ACC
  MSP/Chow           0.6464         1%   28.4%   0.52s      93J   0.05
  entropy            0.6466         1%   31.6%   0.77s     158J   0.05
  gini               0.6477         1%   29.5%   0.63s     124J   0.10
  conformal          0.6464         1%   28.4%   0.52s      93J   0.05
  learned-correct    0.6472         1%   31.5%   0.77s     158J   0.20
  learned-defer      0.6445         0%   26.8%   0.44s      73J   0.15
  random             0.6408        20%   64.6%   4.66s    1182J   0.40

################  GATE METHODS @ FIXED 3-TIER CONFIG  [COMPETENT-4]  (20 seeds)  ################
  config = 7B-nt@cap320 -> 32B-nt@cap320 -> 32B-think@fullres ; parity=0.6451
  gate method           acc  esc→think  FLOPs%     lat   energy  guard
  margin             0.6449         0%   23.6%   0.39s      64J   0.10 <-ACC
  MSP/Chow           0.6456         1%   25.4%   0.51s      93J   0.05
  entropy            0.6458         1%   28.7%   0.54s     100J   0.15
  gini               0.6455         1%   26.8%   0.58s     112J   0.25
  conformal          0.6456         1%   25.4%   0.51s      93J   0.05
  learned-correct    0.6440         1%   28.6%   0.54s     100J   0.20
  learned-defer      0.6436         0%   23.1%   0.34s      50J   0.15
  random             0.6433        12%   54.0%   2.82s     696J   0.45
