family,pool,method,acc,esc0_pct,think_pct,flops_pct,latency_s,energy_j,guard,PMC,SLAKE,VQARAD,PathV,MMMU,MX-R,MX-U
medvlthinker,ALL-6,always-small-nt (cheap),0.5262,0.0,0.0,8.4,0.129,19.9,0.0,0.543,0.762,0.761,0.6407,0.5471,0.2254,0.2563
medvlthinker,ALL-6,always-big-nt,0.5573,100.0,0.0,36.2,0.231,77.8,0.0,0.551,0.8486,0.8529,0.6612,0.6235,0.2787,0.2924
medvlthinker,ALL-6,always-big-think [PARITY],0.5723,100.0,100.0,100.0,11.338,6318.8,0.0,0.5565,0.7644,0.7757,0.6725,0.6882,0.3257,0.3845
medvlthinker,ALL-6,Ours (ACC-v2: agreement),0.5693,71.7,15.1,52.0,2.273,1181.9,0.0,0.5613,0.8416,0.8609,0.6791,0.643,0.2821,0.3103
medvlthinker,ALL-6,CASP-Stability (trained),0.5698,74.3,11.0,49.0,1.769,899.2,0.05,0.5602,0.8364,0.8653,0.6766,0.661,0.2894,0.3131
medvlthinker,ALL-6,ACC-v1 (margin),0.5687,66.0,19.5,53.9,2.69,1416.6,0.0,0.5648,0.8263,0.858,0.6753,0.6436,0.2884,0.3081
medvlthinker,ALL-6,MSP/Chow,0.5697,69.8,19.3,57.4,2.959,1568.1,0.0,0.5624,0.8352,0.8507,0.673,0.675,0.2945,0.3173
medvlthinker,ALL-6,entropy,0.5691,71.3,21.1,62.0,3.481,1863.1,0.0,0.558,0.8306,0.854,0.6667,0.6733,0.3075,0.3309
medvlthinker,ALL-6,Gini/DOCTOR,0.5702,69.3,21.9,61.0,3.436,1837.1,0.0,0.5602,0.8352,0.8529,0.6721,0.6762,0.3004,0.3205
medvlthinker,ALL-6,AutoMix (self-verify),0.5692,73.0,17.7,54.6,2.5,1307.0,0.05,0.5559,0.8191,0.8474,0.6807,0.6308,0.2951,0.3115
medvlthinker,ALL-6,FrugalGPT-style learned,0.5677,70.0,19.1,60.4,3.304,1765.5,0.1,0.5586,0.795,0.8314,0.6667,0.6924,0.3106,0.3311
medvlthinker,ALL-6,Jitkrittum L2D (Diff-Prob),0.5666,67.4,14.6,50.6,2.289,1194.5,0.0,0.5628,0.8263,0.8518,0.6716,0.6407,0.2905,0.3058
medvlthinker,ALL-6,random,0.5641,89.3,75.9,116.5,8.948,4889.5,0.05,0.5507,0.7801,0.7788,0.6674,0.6593,0.3067,0.3608
medvlthinker,ALL-5,always-small-nt (cheap),0.6201,0.0,0.0,8.9,0.129,19.9,0.0,0.543,0.762,0.761,0.6407,0.5471,nan,nan
medvlthinker,ALL-5,always-big-nt,0.6457,100.0,0.0,38.7,0.231,77.8,0.0,0.551,0.8486,0.8529,0.6612,0.6235,nan,nan
medvlthinker,ALL-5,always-big-think [PARITY],0.6463,100.0,100.0,100.0,8.882,4915.9,0.0,0.5565,0.7644,0.7757,0.6725,0.6882,nan,nan
medvlthinker,ALL-5,Ours (ACC-v2: agreement),0.645,35.1,2.3,24.9,0.436,172.8,0.05,0.5544,0.806,0.8522,0.6643,0.6017,nan,nan
medvlthinker,ALL-5,CASP-Stability (trained),0.6461,43.3,2.4,28.3,0.464,184.5,0.05,0.5561,0.8,0.8467,0.6641,0.6465,nan,nan
medvlthinker,ALL-5,ACC-v1 (margin),0.6435,31.8,3.4,24.8,0.525,223.7,0.05,0.5557,0.7988,0.8482,0.662,0.6012,nan,nan
medvlthinker,ALL-5,MSP/Chow,0.6444,38.7,2.8,27.0,0.51,212.2,0.05,0.5575,0.8053,0.8449,0.6611,0.6169,nan,nan
medvlthinker,ALL-5,entropy,0.6459,49.9,2.5,31.2,0.517,211.0,0.05,0.5524,0.8129,0.8485,0.6639,0.6529,nan,nan
medvlthinker,ALL-5,Gini/DOCTOR,0.6461,44.1,2.0,28.4,0.455,179.4,0.1,0.5556,0.8103,0.8474,0.6631,0.6453,nan,nan
medvlthinker,ALL-5,AutoMix (self-verify),0.6448,25.4,1.7,20.6,0.35,129.7,0.65,0.5533,0.7598,0.8113,0.6742,0.589,nan,nan
medvlthinker,ALL-5,FrugalGPT-style learned,0.6449,47.6,2.9,30.8,0.559,235.2,0.2,0.5512,0.794,0.8318,0.6661,0.661,nan,nan
medvlthinker,ALL-5,Jitkrittum L2D (Diff-Prob),0.6403,32.0,2.3,23.6,0.413,161.3,0.2,0.5471,0.7938,0.8427,0.6635,0.575,nan,nan
medvlthinker,ALL-5,random,0.639,82.1,16.6,57.2,1.792,899.7,0.4,0.543,0.8141,0.8172,0.6614,0.611,nan,nan
lingshu,ALL-6,always-small-nt (cheap),0.6175,0.0,0.0,13.1,0.131,22.9,0.0,0.6215,0.8413,0.7316,0.782,0.8471,0.2469,0.278
lingshu,ALL-6,always-big-nt,0.6675,100.0,0.0,56.8,0.27,88.1,1.0,0.64,0.8942,0.8162,0.8614,0.6294,0.296,0.3285
lingshu,ALL-6,always-big-think [PARITY],0.6611,100.0,100.0,100.0,0.322,113.2,1.0,0.6515,0.8846,0.7463,0.8444,0.6176,0.2967,0.3375
lingshu,ALL-6,Ours (ACC-v2: agreement),0.6614,60.7,0.0,48.6,0.295,76.3,1.0,0.6381,0.8631,0.8135,0.8539,0.7122,0.2852,0.3174
lingshu,ALL-6,CASP-Stability (trained),0.6613,61.3,0.2,50.0,0.297,77.0,1.05,0.6369,0.859,0.8139,0.8508,0.6855,0.2943,0.3264
lingshu,ALL-6,ACC-v1 (margin),0.6614,60.7,0.0,48.6,0.295,76.3,1.0,0.6381,0.8631,0.8135,0.8539,0.7122,0.2852,0.3174
lingshu,ALL-6,MSP/Chow,0.6611,62.1,0.0,49.9,0.299,77.6,1.0,0.6373,0.8617,0.8135,0.8522,0.7012,0.2893,0.3198
lingshu,ALL-6,entropy,0.6613,64.2,0.0,51.3,0.304,79.5,1.0,0.638,0.8605,0.8128,0.8513,0.6785,0.2938,0.3228
lingshu,ALL-6,Gini/DOCTOR,0.6615,63.6,0.0,50.8,0.303,78.9,1.05,0.6372,0.8631,0.8131,0.8528,0.6919,0.291,0.3205
lingshu,ALL-6,AutoMix (self-verify),0.6605,58.6,0.2,48.0,0.29,74.8,1.0,0.6413,0.8579,0.7898,0.8511,0.6924,0.2884,0.3234
lingshu,ALL-6,FrugalGPT-style learned,0.6614,68.2,0.0,54.1,0.315,83.0,1.0,0.6359,0.8567,0.8161,0.8517,0.6663,0.2956,0.329
lingshu,ALL-6,Jitkrittum L2D (Diff-Prob),0.6595,49.1,0.5,40.4,0.265,66.7,1.1,0.6389,0.8674,0.8157,0.8574,0.7762,0.2602,0.3058
lingshu,ALL-6,random,0.6608,91.4,0.0,65.0,0.378,103.5,1.0,0.6355,0.8905,0.8109,0.8531,0.6314,0.2872,0.3227
lingshu,ALL-5,always-small-nt (cheap),0.7339,0.0,0.0,13.5,0.131,22.9,0.0,0.6215,0.8413,0.7316,0.782,0.8471,nan,nan
lingshu,ALL-5,always-big-nt,0.7841,100.0,0.0,58.7,0.27,88.1,1.0,0.64,0.8942,0.8162,0.8614,0.6294,nan,nan
lingshu,ALL-5,always-big-think [PARITY],0.7746,100.0,100.0,100.0,0.322,113.2,1.0,0.6515,0.8846,0.7463,0.8444,0.6176,nan,nan
lingshu,ALL-5,Ours (ACC-v2: agreement),0.7726,42.0,0.6,38.9,0.246,60.6,1.15,0.6359,0.8495,0.7978,0.8425,0.7686,nan,nan
lingshu,ALL-5,CASP-Stability (trained),0.7726,47.0,0.2,41.6,0.259,64.5,1.15,0.6365,0.851,0.7964,0.8446,0.7209,nan,nan
lingshu,ALL-5,ACC-v1 (margin),0.7734,43.7,0.0,39.3,0.249,61.4,1.15,0.6362,0.8517,0.7953,0.8443,0.7587,nan,nan
lingshu,ALL-5,MSP/Chow,0.7726,47.4,0.2,41.8,0.26,64.9,1.1,0.6357,0.8536,0.7974,0.8448,0.7186,nan,nan
lingshu,ALL-5,entropy,0.7732,51.9,0.2,44.6,0.272,68.9,1.2,0.6349,0.8555,0.7974,0.8472,0.6942,nan,nan
lingshu,ALL-5,Gini/DOCTOR,0.7726,47.2,0.8,42.5,0.261,65.4,1.1,0.6361,0.8531,0.7982,0.8444,0.7203,nan,nan
lingshu,ALL-5,AutoMix (self-verify),0.7733,34.3,0.2,34.2,0.224,53.4,1.0,0.6422,0.8495,0.7653,0.8437,0.7494,nan,nan
lingshu,ALL-5,FrugalGPT-style learned,0.774,48.3,0.0,42.2,0.261,65.4,1.1,0.6359,0.8571,0.7985,0.8469,0.7116,nan,nan
lingshu,ALL-5,Jitkrittum L2D (Diff-Prob),0.7735,32.3,0.0,32.3,0.218,51.4,1.0,0.6241,0.8552,0.8004,0.8473,0.8285,nan,nan
lingshu,ALL-5,random,0.7742,85.0,0.0,63.5,0.36,97.8,1.0,0.6346,0.8933,0.7912,0.8481,0.6366,nan,nan
qoq,ALL-6,always-small-nt (cheap),0.5094,0.0,0.0,8.8,0.121,17.6,0.0,0.5115,0.7212,0.7243,0.6404,0.5294,0.2061,0.2274
qoq,ALL-6,always-big-nt,0.522,100.0,0.0,38.3,0.227,68.8,1.0,0.52,0.7236,0.7426,0.6383,0.6235,0.2324,0.2888
qoq,ALL-6,always-big-think [PARITY],0.4689,100.0,100.0,100.0,9.719,5381.6,4.0,0.4355,0.6587,0.6654,0.5756,0.6941,0.2324,0.2509
qoq,ALL-6,Ours (ACC-v2: agreement),0.5095,0.0,0.0,8.8,0.121,17.6,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,0.2061,0.2302
qoq,ALL-6,CASP-Stability (trained),0.5095,0.0,0.0,8.9,0.123,18.8,0.05,0.5115,0.7212,0.7226,0.6403,0.5287,0.206,0.2302
qoq,ALL-6,ACC-v1 (margin),0.5095,0.0,0.0,8.8,0.121,17.6,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,0.2061,0.2302
qoq,ALL-6,MSP/Chow,0.5094,0.0,0.0,8.9,0.124,19.0,0.15,0.5115,0.7212,0.7226,0.6403,0.5287,0.2059,0.2302
qoq,ALL-6,entropy,0.5095,0.0,0.0,8.9,0.123,18.8,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,0.2061,0.2302
qoq,ALL-6,Gini/DOCTOR,0.5095,0.0,0.0,8.9,0.124,19.0,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,0.2061,0.2302
qoq,ALL-6,AutoMix (self-verify),0.5095,0.0,0.0,8.9,0.123,18.7,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,0.2061,0.2302
qoq,ALL-6,FrugalGPT-style learned,0.5095,0.0,0.0,8.9,0.125,19.8,0.05,0.5115,0.7212,0.7226,0.6403,0.5287,0.206,0.2302
qoq,ALL-6,Jitkrittum L2D (Diff-Prob),0.5095,0.0,0.0,8.9,0.124,19.0,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,0.2062,0.2302
