
######## LINGSHU: no-think vs FOREIGN-think vs NATIVE-think ########
  benchmark              no-think  foreign   native  nat-frgn   nat-nt  gen_nat
  PMC-VQA                   0.640    0.598    0.651    +0.054   +0.011        3
  SLAKE                     0.894    0.829    0.885    +0.055   -0.010        3
  VQA-RAD                   0.816    0.724    0.746    +0.022   -0.070        3
  PathVQA                   0.861    0.760    0.844    +0.085   -0.017        3
  MMMU                      0.629    0.635    0.618    -0.018   -0.012        3
  MedXpert-Reasoning        0.296    0.296    0.297    +0.001   +0.001        3
  MedXpert-Understanding    0.329    0.352    0.338    -0.014   +0.009        3
  POOLED ALL-5              0.784    0.707    0.775    +0.067   -0.009
  POOLED ALL-6              0.668    0.611    0.661    +0.050   -0.006

######## QOQ: no-think vs FOREIGN-think vs NATIVE-think ########
  benchmark              no-think  foreign   native  nat-frgn   nat-nt  gen_nat
  PMC-VQA                   0.520    0.462    0.435    -0.026   -0.085      322
  SLAKE                     0.724    0.709    0.659    -0.050   -0.065      259
  VQA-RAD                   0.743    0.676    0.665    -0.011   -0.077      257
  PathVQA                   0.638    0.586    0.576    -0.010   -0.063      273
  MMMU                      0.624    0.635    0.694    +0.059   +0.071      369
  MedXpert-Reasoning        0.232    0.219    0.232    +0.013   +0.000      480
  MedXpert-Understanding    0.289    0.245    0.251    +0.005   -0.038      429
  POOLED ALL-5              0.610    0.559    0.543    -0.016   -0.067
  POOLED ALL-6              0.522    0.478    0.469    -0.010   -0.053

######## CHIRON: no-think vs FOREIGN-think vs NATIVE-think ########
  benchmark              no-think  foreign   native  nat-frgn   nat-nt  gen_nat
  PMC-VQA                   0.596    0.528    0.524    -0.004   -0.072      272
  SLAKE                     0.810    0.709    0.702    -0.007   -0.108      127
  VQA-RAD                   0.772    0.662    0.680    +0.018   -0.092      108
  PathVQA                   0.664    0.599    0.614    +0.015   -0.051      281
  MMMU                      0.571    0.600    0.571    -0.029   +0.000      380
  MedXpert-Reasoning        0.220    0.222    0.226    +0.003   +0.006      461
  MedXpert-Understanding    0.248    0.275    0.281    +0.005   +0.033      415
  POOLED ALL-5              0.654    0.586    0.593    +0.006   -0.062
  POOLED ALL-6              0.551    0.502    0.508    +0.006   -0.044

######## MEDGEMMA: no-think vs FOREIGN-think vs NATIVE-think ########
  benchmark              no-think  foreign   native  nat-frgn   nat-nt  gen_nat
  PMC-VQA                   0.474    0.461    0.467    +0.006   -0.008      438
  SLAKE                     0.793    0.808    0.798    -0.010   +0.005      213
  VQA-RAD                   0.768    0.695    0.750    +0.055   -0.018      228
  PathVQA                   0.604    0.645    0.644    -0.001   +0.040      317
  MMMU                      0.512    0.547    0.500    -0.047   -0.012      623
  MedXpert-Reasoning        0.249    0.275    0.289    +0.014   +0.040      841
  MedXpert-Understanding    0.262    0.345    0.327    -0.018   +0.065      671
  POOLED ALL-5              0.580    0.596    0.598    +0.001   +0.018
  POOLED ALL-6              0.500    0.523    0.525    +0.002   +0.025

-> results/cascade_methods/native_think_compare.json
READ: native>foreign => the foreign prompt was hurting (artifact). native<no-think still => real over-thinking.
